OBJECTID,DATASET_EN,DATASET_TC,NAME_EN,ADDRESS_EN,NAME_TC,ADDRESS_TC,NSEARCH01_EN,NSEARCH01_TC,NSEARCH02_EN,NSEARCH02_TC,NSEARCH03_EN,NSEARCH03_TC,NSEARCH04_EN,NSEARCH04_TC,NSEARCH05_EN,NSEARCH05_TC,NORTHING,EASTING,LATITUDE,LONGITUDE,LASTUPDATE,GeometryEasting,GeometryNorthing
58,Higher Education Institutions,高等教育院校,Hong Kong Institute of Technology,"Shop R40, G/F., Wah Sum Shopping Centre, Wah Sum Estate, 18 Yat Ming Road, Fanling, New Territories",香港科技專上書院,新界粉嶺一嗚路18號華心邨華心商場地下R40號舖,,,,,,,,,,,838568,832689,22.48667706,114.14209514,2025-12-23T15:56:14,832689,838568
59,Higher Education Institutions,高等教育院校,Caritas Institute of Community Education,"5 Dyer Avenue, Hung Hom, Kowloon",明愛社區書院,九龍紅磡戴亞街5號,,,,,,,,,,,818729,837452,22.30752415,114.18836525,2025-12-23T15:55:42,837452,818729
60,Higher Education Institutions,高等教育院校,Caritas Institute of Community Education,"G/F, Shop 1, Dip Shui House, Shui Pin Wai Estate, Yuen Long, N.T.",明愛社區書院,新界元朗水邊圍邨疊水樓地下1號,,,,,,,,,,,834033,820122,22.44565163,114.0200205,2025-12-23T15:55:25,820122,834033
61,Higher Education Institutions,高等教育院校,Caritas Institute of Community Education,"Units 21-34, G/F, Wu Yuet House, Wu King Estate, Tuen Mun, N.T.",明愛社區書院,新界屯門湖景邨湖月樓地下21-34室,,,,,,,,,,,826414,814455,22.37678592,113.96507173,2025-12-23T15:55:15,814455,826414
62,Higher Education Institutions,高等教育院校,Caritas Institute of Community Education,"4 Cliff Road, Yaumati, Kowloon",明愛社區書院,九龍油麻地石壁道4號,,,,,,,,,,,819125,835750,22.31110061,114.17184696,2025-12-23T15:54:40,835750,819125
63,Higher Education Institutions,高等教育院校,Caritas Institute of Community Education,"146 Chung On Street, Tsuen Wan, N.T.",明愛社區書院,新界荃灣眾安街146號,,,,,,,,,,,825432,830006,22.3680451,114.11607451,2025-12-23T15:54:31,830006,825432
64,Higher Education Institutions,高等教育院校,Caritas Institute of Community Education,"3/F, Carpark No. 1, Cheung Wah Estate, Fanling, New Territories.",明愛社區書院,新界粉嶺祥華村一號停車場三樓,,,,,,,,,,,839292,832720,22.49321514,114.14239477,2025-12-23T15:54:23,832720,839292
65,Higher Education Institutions,高等教育院校,City University of Hong Kong - School of Continuing and Professional Education,"2410, 2/F, Li Dak Sum Yip Yio Chin Academic Building (LI), City University of Hong Kong, Tat Chee Avenue, Kowloon",香港城巿大學 - 專業進修學院,九龍塘達之路香港城市大學李達三葉耀珍學術樓2樓2410室,,,,,,,,,,,822065,835714,22.33765053,114.17149655,2025-12-23T15:54:01,835714,822065
66,Higher Education Institutions,高等教育院校,City University of Hong Kong - School of Continuing and Professional Education,"UG301, UG3/F, ChinaChem Golden Plaza, 16 Science Museum Road, Tsim Sha Tsui East, Kowloon",香港城市大學 - 專業進修學院,九龍尖沙咀東科學館道16號華懋廣場UG301室,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,817912.03865349,836518.72003329,22.30014688,114.1793075,2025-12-23T15:53:11,836518.7199999997,817912.0386999995
67,Higher Education Institutions,高等教育院校,Lingnan Institute of Further Education,"6/F, Union Park Centre, No. 771-775 Nathan Road, Kowloon",嶺南大學持續進修學院,九龍彌敦道771-775號栢宜中心6樓,,,,,,,,,,,820698.70578233,835345.88938054,22.32531194,114.167924,2025-12-23T15:52:27,835345.8893999998,820698.7058000006
68,Higher Education Institutions,高等教育院校,The Education University of Hong Kong,"No.1 True Light Lane, Suffolk Road, Kowloon Tong, Kowloon",香港教育大學,九龍沙福道真光里1號,,,,,,,,,,,822136.08021265,836123.69585979,22.3382925,114.17547356,2025-12-23T15:51:17,836123.6958999997,822136.0801999997
69,Higher Education Institutions,高等教育院校,Tung Wah College,"Level 16, Tower B, Kowloon Commerce Centre, No. 51 Kwai Cheong Road, Kwai Chung, New Territories",東華學院,新界葵涌葵昌路51號九龍貿易中心第二座16樓,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,824767.63391888,831725.4316209,22.36205092,114.13277093,2025-12-23T15:50:19,831725.4315999998,824767.6338999998
